Country,ImportOrExport,Year,Weapons_Type,Units,Value,SmallArmsOnly
Switzerland,Import,1991,Military Weapons,110,17438,No
Switzerland,Import,1991,Pistols & Revolvers,144,86020,Yes
Switzerland,Import,1991,Small calibre ammunition <= 12.7mm,,17225,Yes
Switzerland,Import,1991,Parts & Accessories,,18294,No
Switzerland,Import,1991,Small Arms,50,40201,Yes
Switzerland,Import,1991,Ammunition - all categories,,6482102,No
Switzerland,Import,1991,Parts of small arms,,3403,Yes
Switzerland,Import,1991,Parts of pistols and revolvers,,6811,Yes
Taiwan [ROC],Import,1991,Ammunition - all categories,,124498,No
Taiwan [ROC],Import,1991,Small calibre ammunition <= 12.7mm,,27621,Yes
Taiwan [ROC],Import,1991,Military Weapons,4,3790,No
Taiwan [ROC],Import,1991,Parts & Accessories,,439315,No
Taiwan [ROC],Import,1991,Parts of small arms,,578224,Yes
Taiwan [ROC],Import,1991,Small Arms,540,5805,Yes
Taiwan [ROC],Import,1991,Parts of pistols and revolvers,,450778,Yes
Turkey,Import,1991,Parts & Accessories,,172962,No
Turkey,Import,1991,Small Arms,8,11752,Yes
United Kingdom,Import,1991,Pistols & Revolvers,4102,156598,Yes
United Kingdom,Import,1991,Military Weapons,6841,4535319,No
United Kingdom,Import,1991,Shotgun cartridges,2817000,377767,Yes
United Kingdom,Import,1991,Parts & Accessories,,1363737,No
United Kingdom,Import,1991,Small calibre ammunition <= 12.7mm,,1246351,Yes
United Kingdom,Import,1991,Ammunition - all categories,,35727380,No
United Kingdom,Import,1991,Parts of pistols and revolvers,,30106,Yes
United Kingdom,Import,1991,Parts of small arms,,289010,Yes
United Kingdom,Import,1991,Small Arms,40924,2770128,Yes
Yugoslavia [former] / Serbia & Montenegro,Import,1991,Pistols & Revolvers,2175,641672,Yes
Yugoslavia [former] / Serbia & Montenegro,Import,1991,Military Weapons,159,40559,No
Yugoslavia [former] / Serbia & Montenegro,Import,1991,Parts & Accessories,,1336,No
Yugoslavia [former] / Serbia & Montenegro,Import,1991,Parts of small arms,,946176,Yes
Yugoslavia [former] / Serbia & Montenegro,Import,1991,Small Arms,20948,100031,Yes
Yugoslavia [former] / Serbia & Montenegro,Import,1991,Small calibre ammunition <= 12.7mm,,2323739,Yes
Yugoslavia [former] / Serbia & Montenegro,Import,1991,Ammunition - all categories,,136027,No
All Countries,Import,1992,Military Weapons,274046,19239340,No
All Countries,Import,1992,Pistols & Revolvers,1003655,149503707,Yes
All Countries,Import,1992,Sporting shotguns,337017,41154525,Yes
All Countries,Import,1992,Sporting rifles,420506,50140607,Yes
All Countries,Import,1992,Parts of pistols and revolvers,,19175471,Yes
All Countries,Import,1992,Parts of sporting shotguns,590168,17700242,Yes
All Countries,Import,1992,Parts of small arms,,40364507,Yes
All Countries,Import,1992,Parts & Accessories,,15507128,No
All Countries,Import,1992,Shotgun cartridges,26053000,4969406,Yes
All Countries,Import,1992,Parts of shotgun cartridges,,9618166,Yes
All Countries,Import,1992,Small calibre ammunition <= 12.7mm,,48687329,Yes
All Countries,Import,1992,Ammunition; Explosives & Missiles,,129916345,No
Argentina,Import,1992,Parts of pistols and revolvers,,60567,Yes
Argentina,Import,1992,Pistols & Revolvers,15805,1718906,Yes
Argentina,Import,1992,Small calibre ammunition <= 12.7mm,,18235,Yes
Australia,Import,1992,Pistols & Revolvers,2,2532,Yes
Australia,Import,1992,Sporting shotguns,1,5134,Yes
Australia,Import,1992,Parts of pistols and revolvers,,16440,Yes
Australia,Import,1992,Sporting rifles,6,5016,Yes
Australia,Import,1992,Ammunition; Explosives & Missiles,,26180,No
Australia,Import,1992,Small calibre ammunition <= 12.7mm,,95432,Yes
Australia,Import,1992,Parts & Accessories,,5843,No
Austria,Import,1992,Military Weapons,2040,87748,No
Austria,Import,1992,Sporting rifles,99,82839,Yes
Austria,Import,1992,Parts of pistols and revolvers,,5126589,Yes
Austria,Import,1992,Sporting shotguns,1,2142,Yes
Austria,Import,1992,Pistols & Revolvers,164034,36246503,Yes
Austria,Import,1992,Small calibre ammunition <= 12.7mm,,67699,Yes
Austria,Import,1992,Parts of small arms,,30347,Yes
Belgium,Import,1992,Military Weapons,1920,348696,No
Belgium,Import,1992,Pistols & Revolvers,24642,7067802,Yes
Belgium,Import,1992,Sporting shotguns,2326,753055,Yes
Belgium,Import,1992,Parts of pistols and revolvers,,158098,Yes
Belgium,Import,1992,Sporting rifles,19220,6910998,Yes
Belgium,Import,1992,Ammunition; Explosives & Missiles,,214126,No
Belgium,Import,1992,Small calibre ammunition <= 12.7mm,,39223,Yes
Belgium,Import,1992,Parts of small arms,,2276570,Yes
Belgium,Import,1992,Parts of sporting shotguns,9721,1291701,Yes
Belgium,Import,1992,Parts & Accessories,,4489429,No
Brazil,Import,1992,Military Weapons,4,3135,No
Brazil,Import,1992,Sporting rifles,13015,1161604,Yes
Brazil,Import,1992,Parts of pistols and revolvers,,3246882,Yes
Brazil,Import,1992,Sporting shotguns,33258,2587916,Yes
Brazil,Import,1992,Pistols & Revolvers,316160,35372544,Yes
Brazil,Import,1992,Small calibre ammunition <= 12.7mm,,1706847,Yes
Brazil,Import,1992,Shotgun cartridges,401000,39761,Yes
Brazil,Import,1992,Parts & Accessories,,76611,No
Brazil,Import,1992,Parts of sporting shotguns,540,9718,Yes
Brazil,Import,1992,Parts of small arms,,312020,Yes
Bulgaria,Import,1992,Ammunition; Explosives & Missiles,,55578,No
Canada,Import,1992,Military Weapons,4,27565,No
Canada,Import,1992,Pistols & Revolvers,2507,817602,Yes
Canada,Import,1992,Sporting shotguns,110,29882,Yes
Canada,Import,1992,Parts of pistols and revolvers,,882059,Yes
Canada,Import,1992,Sporting rifles,11287,1019843,Yes
Canada,Import,1992,Ammunition; Explosives & Missiles,,21075940,No
Canada,Import,1992,Shotgun cartridges,5107000,843746,Yes
Canada,Import,1992,Parts of shotgun cartridges,,5903718,Yes
Canada,Import,1992,Small calibre ammunition <= 12.7mm,,791137,Yes
Canada,Import,1992,Parts of small arms,,101742,Yes
Canada,Import,1992,Parts & Accessories,,6166171,No
China (PRC),Import,1992,Military Weapons,185014,9644522,No
China (PRC),Import,1992,Sporting rifles,165971,9059162,Yes
China (PRC),Import,1992,Parts of pistols and revolvers,,118802,Yes
China (PRC),Import,1992,Pistols & Revolvers,22001,1204410,Yes
China (PRC),Import,1992,Ammunition; Explosives & Missiles,,33839,No
China (PRC),Import,1992,Small calibre ammunition <= 12.7mm,,19880511,Yes
China (PRC),Import,1992,Parts of shotgun cartridges,,176259,Yes
China (PRC),Import,1992,Shotgun cartridges,164000,31850,Yes
China (PRC),Import,1992,Parts & Accessories,,604000,No
China (PRC),Import,1992,Parts of small arms,,2173497,Yes
China (PRC),Import,1992,Parts of sporting shotguns,15212,132110,Yes
Cyprus,Import,1992,Small calibre ammunition <= 12.7mm,,331114,Yes
Czechoslovakia,Import,1992,Small calibre ammunition <= 12.7mm,,457577,Yes
Czechoslovakia,Import,1992,Parts of small arms,,4532,Yes
Czechoslovakia,Import,1992,Military Weapons,953,50787,No
Czechoslovakia,Import,1992,Pistols & Revolvers,21177,2126778,Yes
Czechoslovakia,Import,1992,Sporting shotguns,1,1504,Yes
Czechoslovakia,Import,1992,Parts of pistols and revolvers,,49889,Yes
Czechoslovakia,Import,1992,Sporting rifles,6588,701895,Yes
Denmark,Import,1992,Sporting rifles,2,1489,Yes
Denmark,Import,1992,Parts of pistols and revolvers,,3134,Yes
Denmark,Import,1992,Sporting shotguns,2,4714,Yes
Denmark,Import,1992,Shotgun cartridges,140000,25451,Yes
Denmark,Import,1992,Ammunition; Explosives & Missiles,,1448544,No
Egypt,Import,1992,Pistols & Revolvers,8000,581064,Yes
Egypt,Import,1992,Sporting rifles,187,8754,Yes
Egypt,Import,1992,Parts of pistols and revolvers,,22505,Yes
Egypt,Import,1992,Parts of small arms,,2754,Yes
Egypt,Import,1992,Parts & Accessories,,8529,No
Egypt,Import,1992,Small calibre ammunition <= 12.7mm,,84957,Yes
Finland,Import,1992,Military Weapons,10888,280229,No
Finland,Import,1992,Sporting rifles,5200,1357736,Yes
Finland,Import,1992,Parts of small arms,,487513,Yes
Finland,Import,1992,Small calibre ammunition <= 12.7mm,,159095,Yes
France,Import,1992,Military Weapons,2913,125171,No
France,Import,1992,Sporting rifles,27,16283,Yes
France,Import,1992,Sporting shotguns,5585,94001,Yes
France,Import,1992,Pistols & Revolvers,2354,71173,Yes
France,Import,1992,Ammunition; Explosives & Missiles,,25277046,No
France,Import,1992,Small calibre ammunition <= 12.7mm,,91391,Yes
France,Import,1992,Shotgun cartridges,113000,21675,Yes
France,Import,1992,Parts of shotgun cartridges,,33229,Yes
France,Import,1992,Parts of small arms,,104500,Yes
France,Import,1992,Parts of sporting shotguns,13362,1311704,Yes
France,Import,1992,Parts & Accessories,,341750,No
Germany (Federal Republic),Import,1992,Military Weapons,5845,2209537,No
Germany (Federal Republic),Import,1992,Pistols & Revolvers,114032,25739893,Yes
Germany (Federal Republic),Import,1992,Sporting shotguns,1048,2299516,Yes
Germany (Federal Republic),Import,1992,Sporting rifles,22490,2007647,Yes
Germany (Federal Republic),Import,1992,Parts of pistols and revolvers,,1544270,Yes
Germany (Federal Republic),Import,1992,Parts & Accessories,,1285628,No
Germany (Federal Republic),Import,1992,Parts of sporting shotguns,477,590877,Yes
Germany (Federal Republic),Import,1992,Parts of small arms,,649626,Yes
Germany (Federal Republic),Import,1992,Parts of shotgun cartridges,,680309,Yes
Germany (Federal Republic),Import,1992,Shotgun cartridges,3715000,1671512,Yes
Germany (Federal Republic),Import,1992,Small calibre ammunition <= 12.7mm,,1999133,Yes
Germany (Federal Republic),Import,1992,Ammunition; Explosives & Missiles,,3359745,No
Greece,Import,1992,Small calibre ammunition <= 12.7mm,,24503,Yes
Greece,Import,1992,Parts & Accessories,,10976,No
Hungary,Import,1992,Small calibre ammunition <= 12.7mm,,230421,Yes
Hungary,Import,1992,Shotgun cartridges,5714000,555622,Yes
Hungary,Import,1992,Parts & Accessories,,3205,No
Hungary,Import,1992,Parts of pistols and revolvers,,103705,Yes
Hungary,Import,1992,Sporting rifles,1100,248171,Yes
Hungary,Import,1992,Sporting shotguns,125,32147,Yes
Hungary,Import,1992,Pistols & Revolvers,72253,6721725,Yes
Iceland,Import,1992,Shotgun cartridges,69000,11989,Yes
India,Import,1992,Parts of shotgun cartridges,,27524,Yes
India,Import,1992,Parts of small arms,,2554,Yes
India,Import,1992,Parts of pistols and revolvers,,18123,Yes
India,Import,1992,Military Weapons,64,10370,No
Israel,Import,1992,Military Weapons,766,177888,No
Israel,Import,1992,Pistols & Revolvers,11665,4080706,Yes
Israel,Import,1992,Sporting rifles,770,105078,Yes
Israel,Import,1992,Parts of pistols and revolvers,,1134770,Yes
Israel,Import,1992,Parts & Accessories,,429875,No
Israel,Import,1992,Ammunition; Explosives & Missiles,,23163236,No
Israel,Import,1992,Small calibre ammunition <= 12.7mm,,2712174,Yes
Italy,Import,1992,Military Weapons,346,174563,No
Italy,Import,1992,Parts of pistols and revolvers,,5080052,Yes
Italy,Import,1992,Sporting rifles,3555,1006043,Yes
Italy,Import,1992,Pistols & Revolvers,177723,19384253,Yes
Italy,Import,1992,Sporting shotguns,277244,28272041,Yes
Italy,Import,1992,Ammunition; Explosives & Missiles,,3659,No
Italy,Import,1992,Small calibre ammunition <= 12.7mm,,4781875,Yes
Italy,Import,1992,Shotgun cartridges,5183000,900175,Yes
Italy,Import,1992,Parts of shotgun cartridges,,201298,Yes
Italy,Import,1992,Parts & Accessories,,131466,No
Italy,Import,1992,Parts of small arms,,5399837,Yes
Italy,Import,1992,Parts of sporting shotguns,6089,961867,Yes
Japan,Import,1992,Sporting shotguns,7796,3892532,Yes
Japan,Import,1992,Sporting rifles,106228,24320225,Yes
Japan,Import,1992,Parts of pistols and revolvers,,72332,Yes
Japan,Import,1992,Parts of shotgun cartridges,,39501,Yes
Japan,Import,1992,Parts of sporting shotguns,116214,11068744,Yes
Japan,Import,1992,Parts of small arms,,24787246,Yes
Japan,Import,1992,Parts & Accessories,,328698,No
Korea; South (ROK),Import,1992,Parts of pistols and revolvers,,36753,Yes
Korea; South (ROK),Import,1992,Sporting shotguns,10,6454,Yes
Korea; South (ROK),Import,1992,Pistols & Revolvers,4500,1028076,Yes
Korea; South (ROK),Import,1992,Parts & Accessories,,270297,No
Korea; South (ROK),Import,1992,Parts of small arms,,188223,Yes
Korea; South (ROK),Import,1992,Parts of sporting shotguns,20,3168,Yes
Korea; South (ROK),Import,1992,Parts of shotgun cartridges,,3570,Yes
Korea; South (ROK),Import,1992,Small calibre ammunition <= 12.7mm,,8452527,Yes
Korea; South (ROK),Import,1992,Ammunition; Explosives & Missiles,,122069,No
Mexico,Import,1992,Military Weapons,13441,320155,No
Mexico,Import,1992,Ammunition; Explosives & Missiles,,15185227,No
Mexico,Import,1992,Small calibre ammunition <= 12.7mm,,1355123,Yes
Mexico,Import,1992,Parts of shotgun cartridges,,12089,Yes
Mexico,Import,1992,Parts of sporting shotguns,425227,2300959,Yes
Mexico,Import,1992,Parts of small arms,,858592,Yes
Mexico,Import,1992,Parts & Accessories,,267246,No
Netherlands,Import,1992,Military Weapons,2,1884,No
Netherlands,Import,1992,Parts of pistols and revolvers,,41656,Yes
Netherlands,Import,1992,Ammunition; Explosives & Missiles,,1570451,No
Norway,Import,1992,Parts & Accessories,,124764,No
Norway,Import,1992,Ammunition; Explosives & Missiles,,779947,No
Norway,Import,1992,Small calibre ammunition <= 12.7mm,,49427,Yes
Pakistan,Import,1992,Parts & Accessories,,139341,No
Pakistan,Import,1992,Parts of small arms,,36257,Yes
Panama,Import,1992,Parts of shotgun cartridges,,15337,Yes
Peru,Import,1992,Parts of shotgun cartridges,,1536193,Yes
Peru,Import,1992,Ammunition; Explosives & Missiles,,16399,No
Philippines,Import,1992,Sporting shotguns,275,22621,Yes
Philippines,Import,1992,Sporting rifles,9405,503135,Yes
Philippines,Import,1992,Parts of small arms,,13205,Yes
Philippines,Import,1992,Small calibre ammunition <= 12.7mm,,141501,Yes
Poland,Import,1992,Shotgun cartridges,800000,74621,Yes
Poland,Import,1992,Pistols & Revolvers,20,4632,Yes
Portugal,Import,1992,Sporting rifles,242,76647,Yes
Portugal,Import,1992,Parts & Accessories,,4777,No
Portugal,Import,1992,Small calibre ammunition <= 12.7mm,,45718,Yes
Russia / USSR (Former),Import,1992,Parts & Accessories,,2649,No
Russia / USSR (Former),Import,1992,Sporting rifles,612,12132,Yes
Russia / USSR (Former),Import,1992,Pistols & Revolvers,16,5280,Yes
Russia / USSR (Former),Import,1992,Sporting shotguns,698,9388,Yes
Russia / USSR (Former),Import,1992,Military Weapons,2783,139169,No
Serbia / Yugoslavia (former) / Serbia & Montenegro (former),Import,1992,Small calibre ammunition <= 12.7mm,,2072447,Yes
Serbia / Yugoslavia (former) / Serbia & Montenegro (former),Import,1992,Parts of small arms,,175057,Yes
Serbia / Yugoslavia (former) / Serbia & Montenegro (former),Import,1992,Parts & Accessories,,2538,No
Serbia / Yugoslavia (former) / Serbia & Montenegro (former),Import,1992,Pistols & Revolvers,60,19171,Yes
Singapore,Import,1992,Small calibre ammunition <= 12.7mm,,126772,Yes
Singapore,Import,1992,Ammunition; Explosives & Missiles,,24677,No
South Africa,Import,1992,Parts of pistols and revolvers,,90669,Yes
South Africa,Import,1992,Parts of small arms,,7278,Yes
South Africa,Import,1992,Sporting rifles,1,1551,Yes
Spain,Import,1992,Sporting rifles,80,12006,Yes
Spain,Import,1992,Sporting shotguns,6655,2003569,Yes
Spain,Import,1992,Pistols & Revolvers,44555,6744179,Yes
Spain,Import,1992,Parts of small arms,,2079041,Yes
Spain,Import,1992,Parts of sporting shotguns,4,3114,Yes
Spain,Import,1992,Parts & Accessories,,105136,No
Spain,Import,1992,Parts of pistols and revolvers,,716798,Yes
Spain,Import,1992,Military Weapons,20385,700791,No
Spain,Import,1992,Parts of shotgun cartridges,,928386,Yes
Spain,Import,1992,Ammunition; Explosives & Missiles,,24824,No
Spain,Import,1992,Small calibre ammunition <= 12.7mm,,411325,Yes
Sweden,Import,1992,Pistols & Revolvers,500,258535,Yes
Sweden,Import,1992,Sporting shotguns,21,1395,Yes
Sweden,Import,1992,Sporting rifles,578,37751,Yes
Sweden,Import,1992,Shotgun cartridges,1422000,256829,Yes
Sweden,Import,1992,Military Weapons,13237,479204,No
Sweden,Import,1992,Parts & Accessories,,37399,No
Sweden,Import,1992,Parts of small arms,,4645,Yes
Sweden,Import,1992,Small calibre ammunition <= 12.7mm,,962009,Yes
Sweden,Import,1992,Ammunition; Explosives & Missiles,,11037563,No
Switzerland,Import,1992,Sporting rifles,26,6939,Yes
Switzerland,Import,1992,Pistols & Revolvers,484,244039,Yes
Switzerland,Import,1992,Parts & Accessories,,27645,No
Switzerland,Import,1992,Military Weapons,1,28294,No
Switzerland,Import,1992,Parts of pistols and revolvers,,65535,Yes
Switzerland,Import,1992,Ammunition; Explosives & Missiles,,5959266,No
Taiwan (ROC),Import,1992,Ammunition; Explosives & Missiles,,55658,No
Taiwan (ROC),Import,1992,Parts of shotgun cartridges,,3666,Yes
Taiwan (ROC),Import,1992,Shotgun cartridges,25000,1606,Yes
Taiwan (ROC),Import,1992,Small calibre ammunition <= 12.7mm,,57199,Yes
Taiwan (ROC),Import,1992,Parts of small arms,,469297,Yes
Taiwan (ROC),Import,1992,Parts of sporting shotguns,3200,5738,Yes
Taiwan (ROC),Import,1992,Parts & Accessories,,259824,No
Taiwan (ROC),Import,1992,Parts of pistols and revolvers,,562707,Yes
Turkey,Import,1992,Sporting rifles,10180,231923,Yes
Turkey,Import,1992,Parts of small arms,,36184,Yes
United Arab Emirates,Import,1992,Small calibre ammunition <= 12.7mm,,77759,Yes
United Kingdom,Import,1992,Sporting shotguns,1861,1136514,Yes
United Kingdom,Import,1992,Shotgun cartridges,3200000,534569,Yes
United Kingdom,Import,1992,Parts of shotgun cartridges,,57087,Yes
United Kingdom,Import,1992,Parts of sporting shotguns,102,20542,Yes
United Kingdom,Import,1992,Parts & Accessories,,383331,No
United Kingdom,Import,1992,Parts of small arms,,163990,Yes
United Kingdom,Import,1992,Parts of pistols and revolvers,,23136,Yes
United Kingdom,Import,1992,Military Weapons,13440,4429632,No
United Kingdom,Import,1992,Sporting rifles,43637,1245740,Yes
United Kingdom,Import,1992,Pistols & Revolvers,1165,63904,Yes
United Kingdom,Import,1992,Small calibre ammunition <= 12.7mm,,1464198,Yes
United Kingdom,Import,1992,Ammunition; Explosives & Missiles,,20482371,No
All Countries,Import,1993,Military Weapons,809040,51112621,No
All Countries,Import,1993,Shotgun cartridges,14407000,2503598,Yes
All Countries,Import,1993,Parts of shotgun cartridges,,9869014,Yes
All Countries,Import,1993,Small calibre ammunition <= 12.7mm,,57429645,Yes
All Countries,Import,1993,Ammunition; Explosives & Missiles,,116221197,No
All Countries,Import,1993,Pistols & Revolvers,1183845,180933862,Yes
All Countries,Import,1993,Sporting shotguns,137731,50962298,Yes
All Countries,Import,1993,Sporting rifles,776604,81661521,Yes
All Countries,Import,1993,Parts of pistols and revolvers,,17010782,Yes
All Countries,Import,1993,Parts of small arms,,51859034,Yes
All Countries,Import,1993,Parts of sporting shotguns,653912,20695080,Yes
All Countries,Import,1993,Parts & Accessories,,17001037,No
Argentina,Import,1993,Military Weapons,221,21858,No
Argentina,Import,1993,Small calibre ammunition <= 12.7mm,,260430,Yes
Argentina,Import,1993,Parts of small arms,,111873,Yes
Argentina,Import,1993,Parts of pistols and revolvers,,89718,Yes
Argentina,Import,1993,Pistols & Revolvers,28258,2815977,Yes
Australia,Import,1993,Military Weapons,4,1642,No
Australia,Import,1993,Small calibre ammunition <= 12.7mm,,104677,Yes
Australia,Import,1993,Ammunition; Explosives & Missiles,,35766,No
Australia,Import,1993,Sporting rifles,1,5055,Yes
Australia,Import,1993,Parts of small arms,,81832,Yes
Australia,Import,1993,Parts & Accessories,,4332,No
Austria,Import,1993,Military Weapons,28,19429,No
Austria,Import,1993,Small calibre ammunition <= 12.7mm,,225367,Yes
Austria,Import,1993,Parts & Accessories,,36865,No
Austria,Import,1993,Parts of small arms,,72085,Yes
Austria,Import,1993,Parts of pistols and revolvers,,2887782,Yes
Austria,Import,1993,Sporting rifles,632,232300,Yes
Austria,Import,1993,Sporting shotguns,1,12379,Yes
Austria,Import,1993,Pistols & Revolvers,184283,40943389,Yes
Bahrain,Import,1993,Ammunition; Explosives & Missiles,,57162,No
Belgium,Import,1993,Military Weapons,2676,304573,No
Belgium,Import,1993,Ammunition; Explosives & Missiles,,2154855,No
Belgium,Import,1993,Small calibre ammunition <= 12.7mm,,6416,Yes
Belgium,Import,1993,Pistols & Revolvers,40038,10152636,Yes
Belgium,Import,1993,Sporting shotguns,106,484279,Yes
Belgium,Import,1993,Sporting rifles,23048,8074899,Yes
Belgium,Import,1993,Parts of pistols and revolvers,,193958,Yes
Belgium,Import,1993,Parts of small arms,,3550464,Yes
Belgium,Import,1993,Parts & Accessories,,180529,No
Belgium,Import,1993,Parts of sporting shotguns,6940,960532,Yes
Brazil,Import,1993,Military Weapons,1200,341989,No
Brazil,Import,1993,Small calibre ammunition <= 12.7mm,,1344864,Yes
Brazil,Import,1993,Parts & Accessories,,132983,No
Brazil,Import,1993,Parts of small arms,,676525,Yes
Brazil,Import,1993,Parts of pistols and revolvers,,1352657,Yes
Brazil,Import,1993,Sporting rifles,12150,1104677,Yes
Brazil,Import,1993,Sporting shotguns,16635,2234081,Yes
Brazil,Import,1993,Pistols & Revolvers,319281,35418244,Yes
Bulgaria,Import,1993,Small calibre ammunition <= 12.7mm,,26617,Yes
Bulgaria,Import,1993,Parts of shotgun cartridges,,29639,Yes
Bulgaria,Import,1993,Pistols & Revolvers,1000,86559,Yes
Canada,Import,1993,Military Weapons,1,5072,No
Canada,Import,1993,Parts of shotgun cartridges,,6159854,Yes
Canada,Import,1993,Shotgun cartridges,520000,91539,Yes
Canada,Import,1993,Small calibre ammunition <= 12.7mm,,729956,Yes
Canada,Import,1993,Ammunition; Explosives & Missiles,,8262565,No
Canada,Import,1993,Pistols & Revolvers,9737,2598507,Yes
Canada,Import,1993,Sporting shotguns,1,2552,Yes
Canada,Import,1993,Sporting rifles,15844,1811624,Yes
Canada,Import,1993,Parts of pistols and revolvers,,1177032,Yes
Canada,Import,1993,Parts of small arms,,121574,Yes
Canada,Import,1993,Parts & Accessories,,8360397,No
China (PRC),Import,1993,Military Weapons,606015,31694347,No
China (PRC),Import,1993,Ammunition; Explosives & Missiles,,35537,No
China (PRC),Import,1993,Small calibre ammunition <= 12.7mm,,27819610,Yes
China (PRC),Import,1993,Shotgun cartridges,86000,15937,Yes
China (PRC),Import,1993,Parts of shotgun cartridges,,89005,Yes
China (PRC),Import,1993,Parts & Accessories,,1391093,No
China (PRC),Import,1993,Parts of small arms,,6925860,Yes
China (PRC),Import,1993,Parts of pistols and revolvers,,344617,Yes
China (PRC),Import,1993,Sporting rifles,511299,32581212,Yes
China (PRC),Import,1993,Sporting shotguns,4402,504124,Yes
China (PRC),Import,1993,Pistols & Revolvers,69986,4373986,Yes
Cyprus,Import,1993,Shotgun cartridges,1282000,255227,Yes
Czech Republic,Import,1993,Shotgun cartridges,1200000,117384,Yes
Czech Republic,Import,1993,Small calibre ammunition <= 12.7mm,,2276697,Yes
Czech Republic,Import,1993,Pistols & Revolvers,9857,1169514,Yes
Czech Republic,Import,1993,Sporting rifles,4351,400572,Yes
Czech Republic,Import,1993,Parts of pistols and revolvers,,29529,Yes
Czech Republic,Import,1993,Parts of small arms,,26177,Yes
Czech Republic,Import,1993,Military Weapons,9843,790037,No
Denmark,Import,1993,Military Weapons,1,41022,No
Denmark,Import,1993,Ammunition; Explosives & Missiles,,1980949,No
Denmark,Import,1993,Parts & Accessories,,12387,No
Denmark,Import,1993,Sporting rifles,1,1968,Yes
Egypt,Import,1993,Military Weapons,1100,148046,No
Egypt,Import,1993,Pistols & Revolvers,8000,753899,Yes
Egypt,Import,1993,Sporting rifles,10200,1463732,Yes
Egypt,Import,1993,Parts of pistols and revolvers,,28623,Yes
Egypt,Import,1993,Parts of small arms,,53738,Yes
Egypt,Import,1993,Parts & Accessories,,12096,No
Egypt,Import,1993,Small calibre ammunition <= 12.7mm,,515148,Yes
Estonia,Import,1993,Parts of small arms,,41729,Yes
Finland,Import,1993,Military Weapons,6148,156936,No
Finland,Import,1993,Parts of small arms,,26617,Yes
Finland,Import,1993,Sporting rifles,2457,926582,Yes
Finland,Import,1993,Small calibre ammunition <= 12.7mm,,325347,Yes
France,Import,1993,Small calibre ammunition <= 12.7mm,,429697,Yes
France,Import,1993,Ammunition; Explosives & Missiles,,529691,No
France,Import,1993,Parts of shotgun cartridges,,25580,Yes
France,Import,1993,Sporting rifles,257,9915,Yes
France,Import,1993,Sporting shotguns,3,20807,Yes
France,Import,1993,Pistols & Revolvers,2426,277850,Yes
France,Import,1993,Parts & Accessories,,333412,No
France,Import,1993,Parts of sporting shotguns,10719,939907,Yes
Germany (Federal Republic),Import,1993,Military Weapons,29900,2785583,No
Germany (Federal Republic),Import,1993,Parts of shotgun cartridges,,844427,Yes
Germany (Federal Republic),Import,1993,Shotgun cartridges,1460000,687875,Yes
Germany (Federal Republic),Import,1993,Ammunition; Explosives & Missiles,,7109664,No
Germany (Federal Republic),Import,1993,Small calibre ammunition <= 12.7mm,,2243054,Yes
Germany (Federal Republic),Import,1993,Parts of sporting shotguns,587,676678,Yes
Germany (Federal Republic),Import,1993,Parts & Accessories,,1733385,No
Germany (Federal Republic),Import,1993,Parts of small arms,,1614071,Yes
Germany (Federal Republic),Import,1993,Parts of pistols and revolvers,,2207745,Yes
Germany (Federal Republic),Import,1993,Pistols & Revolvers,155374,36230339,Yes
Germany (Federal Republic),Import,1993,Sporting shotguns,1413,2540123,Yes
Germany (Federal Republic),Import,1993,Sporting rifles,16877,1616825,Yes
Greece,Import,1993,Parts & Accessories,,4861,No
Guatemala,Import,1993,Small calibre ammunition <= 12.7mm,,310889,Yes
Hong Kong,Import,1993,Military Weapons,4400,437629,No
Hong Kong,Import,1993,Small calibre ammunition <= 12.7mm,,744742,Yes
Hong Kong,Import,1993,Parts & Accessories,,19382,No
Hong Kong,Import,1993,Parts of small arms,,321850,Yes
Hungary,Import,1993,Military Weapons,55,2509,No
Hungary,Import,1993,Small calibre ammunition <= 12.7mm,,307398,Yes
Hungary,Import,1993,Shotgun cartridges,1475000,164925,Yes
Hungary,Import,1993,Parts of pistols and revolvers,,103000,Yes
Hungary,Import,1993,Parts & Accessories,,22199,No
Hungary,Import,1993,Sporting rifles,8700,1965800,Yes
Hungary,Import,1993,Pistols & Revolvers,51998,5450100,Yes
India,Import,1993,Parts & Accessories,,1774,No
India,Import,1993,Parts of pistols and revolvers,,52197,Yes
Israel,Import,1993,Military Weapons,146,363371,No
Israel,Import,1993,Small calibre ammunition <= 12.7mm,,3254094,Yes
Israel,Import,1993,Ammunition; Explosives & Missiles,,21576981,No
Israel,Import,1993,Parts of pistols and revolvers,,311980,Yes
Israel,Import,1993,Parts of small arms,,2355,Yes
Israel,Import,1993,Parts & Accessories,,274323,No
Israel,Import,1993,Pistols & Revolvers,16113,6505494,Yes
Israel,Import,1993,Sporting rifles,37,3216,Yes
Italy,Import,1993,Military Weapons,9,92289,No
Italy,Import,1993,Small calibre ammunition <= 12.7mm,,3344184,Yes
Italy,Import,1993,Shotgun cartridges,3019000,368445,Yes
Italy,Import,1993,Parts of shotgun cartridges,,154565,Yes
Italy,Import,1993,Sporting rifles,5693,1484706,Yes
Italy,Import,1993,Sporting shotguns,83717,35660128,Yes
Italy,Import,1993,Pistols & Revolvers,120625,16974514,Yes
Italy,Import,1993,Parts & Accessories,,90220,No
