country,importOrExport,year,weapons_Type,units,value,smallArmsOnly
Bolivia,Export,1963,Non-Military Firearms (89431),1370,32324,Yes
Brazil,Export,1963,Non-Military Firearms (89431),307,9804,Yes
Burma,Export,1963,Non-Military Firearms (89431),20,789,Yes
Canada,Export,1963,Non-Military Firearms (89431),43074,1904909,Yes
Carribean,Export,1963,Non-Military Firearms (89431),445,10070,Yes
Chile,Export,1963,Non-Military Firearms (89431),59,2263,Yes
Colombia,Export,1963,Non-Military Firearms (89431),2599,98705,Yes
Costa Rica,Export,1963,Non-Military Firearms (89431),297,8066,Yes
Denmark,Export,1963,Non-Military Firearms (89431),2371,74636,Yes
Dominican Republic,Export,1963,Non-Military Firearms (89431),939,36263,Yes
Ecuador,Export,1963,Non-Military Firearms (89431),123,5132,Yes
El Salvador,Export,1963,Non-Military Firearms (89431),1441,49917,Yes
Ethiopia,Export,1963,Non-Military Firearms (89431),1331,33666,Yes
Finland,Export,1963,Non-Military Firearms (89431),1307,48419,Yes
France,Export,1963,Non-Military Firearms (89431),3076,172063,Yes
Germany (Federal Republic),Export,1963,Non-Military Firearms (89431),1737,80479,Yes
Greece,Export,1963,Non-Military Firearms (89431),591,30878,Yes
Guadeloupe,Export,1963,Non-Military Firearms (89431),97,7531,Yes
Guatemala,Export,1963,Non-Military Firearms (89431),291,9301,Yes
Honduras,Export,1963,Non-Military Firearms (89431),977,20022,Yes
Hong Kong,Export,1963,Non-Military Firearms (89431),1643,64123,Yes
Iceland,Export,1963,Non-Military Firearms (89431),66,2035,Yes
India,Export,1963,Non-Military Firearms (89431),82,4138,Yes
Indonesia,Export,1963,Non-Military Firearms (89431),504,11489,Yes
Iran,Export,1963,Non-Military Firearms (89431),639,59746,Yes
Ireland,Export,1963,Non-Military Firearms (89431),623,13929,Yes
Israel,Export,1963,Non-Military Firearms (89431),265,6690,Yes
Italy,Export,1963,Non-Military Firearms (89431),1813,96714,Yes
Jamaica,Export,1963,Non-Military Firearms (89431),295,14300,Yes
Japan,Export,1963,Non-Military Firearms (89431),349,26244,Yes
Jordan,Export,1963,Non-Military Firearms (89431),80,1627,Yes
Kenya,Export,1963,Non-Military Firearms (89431),942,49615,Yes
Laos,Export,1963,Non-Military Firearms (89431),12,1226,Yes
Lebanon,Export,1963,Non-Military Firearms (89431),2676,56826,Yes
Liberia,Export,1963,Non-Military Firearms (89431),4829,102602,Yes
Madagascar,Export,1963,Non-Military Firearms (89431),75,3471,Yes
Malaysia,Export,1963,Non-Military Firearms (89431),40,785,Yes
Mauritius,Export,1963,Non-Military Firearms (89431),24,1139,Yes
Mexico,Export,1963,Non-Military Firearms (89431),457,23785,Yes
Mozambique,Export,1963,Non-Military Firearms (89431),170,5843,Yes
Netherlands,Export,1963,Non-Military Firearms (89431),69,4259,Yes
New Caledonia,Export,1963,Non-Military Firearms (89431),54,2544,Yes
New Zealand,Export,1963,Non-Military Firearms (89431),2228,58154,Yes
Nicaragua,Export,1963,Non-Military Firearms (89431),582,15226,Yes
Nigeria,Export,1963,Non-Military Firearms (89431),30,1327,Yes
Norway,Export,1963,Non-Military Firearms (89431),710,32013,Yes
Pakistan,Export,1963,Non-Military Firearms (89431),468,21082,Yes
Panama,Export,1963,Non-Military Firearms (89431),54,1011,Yes
Panama,Export,1963,Non-Military Firearms (89431),93,7379,Yes
Papua New Guinea,Export,1963,Non-Military Firearms (89431),94,2427,Yes
Paraguay,Export,1963,Non-Military Firearms (89431),185,5638,Yes
Peru,Export,1963,Non-Military Firearms (89431),3009,71832,Yes
Philippines,Export,1963,Non-Military Firearms (89431),862,27796,Yes
Portugal,Export,1963,Non-Military Firearms (89431),109,7550,Yes
Qatar,Export,1963,Non-Military Firearms (89431),853,19615,Yes
Ryukyu Islands,Export,1963,Non-Military Firearms (89431),106,14696,Yes
Saudi Arabia,Export,1963,Non-Military Firearms (89431),622,13733,Yes
Senegal,Export,1963,Non-Military Firearms (89431),21,1491,Yes
Singapore,Export,1963,Non-Military Firearms (89431),373,9043,Yes
Somalia,Export,1963,Non-Military Firearms (89431),24,694,Yes
South Africa,Export,1963,Non-Military Firearms (89431),1805,52606,Yes
Spain,Export,1963,Non-Military Firearms (89431),1360,68985,Yes
Sri Lanka,Export,1963,Non-Military Firearms (89431),50,967,Yes
Sudan,Export,1963,Non-Military Firearms (89431),19,1489,Yes
Surinam,Export,1963,Non-Military Firearms (89431),846,19552,Yes
Sweden,Export,1963,Non-Military Firearms (89431),1130,63753,Yes
Switzerland,Export,1963,Non-Military Firearms (89431),229,13466,Yes
Syria,Export,1963,Non-Military Firearms (89431),300,5687,Yes
Thailand,Export,1963,Non-Military Firearms (89431),3737,93735,Yes
Trinidad and Tobago,Export,1963,Non-Military Firearms (89431),435,16300,Yes
United Kingdom,Export,1963,Non-Military Firearms (89431),1918,71662,Yes
Unspecified Country,Export,1963,Non-Military Firearms (89431),37,1789,Yes
Uruguay,Export,1963,Non-Military Firearms (89431),1231,36046,Yes
Vanuatu,Export,1963,Non-Military Firearms (89431),18,557,Yes
Venezuela,Export,1963,Non-Military Firearms (89431),1291,59214,Yes
Vietnam; Republic of [former],Export,1963,Non-Military Firearms (89431),1010,120690,Yes
Zimbabwe,Export,1963,Non-Military Firearms (89431),458,19496,Yes
All Countries,Export,1973,Parts of Non-Military Firearms (89433),,2330311,Yes
All Countries,Export,1973,Parts of Non-Military Firearms (89433),,7717,Yes
All Countries,Export,1973,Military Weapons (95102),,91852101,No
All Countries,Export,1973,Military Weapons (95102),,82126,No
All Countries,Export,1973,Parts of Military Ordinance (95103),,18912044,No
All Countries,Export,1973,Parts of Military Ordinance (95103),,64145,No
All Countries,Export,1973,Side Arms and Parts (95104),,490347,No
All Countries,Export,1973,Side Arms and Parts (95104),,52949,No
All Countries,Export,1973,Revolvers and Pistols (95105),121447,7207419,Yes
All Countries,Export,1973,Revolvers and Pistols (95105),2736,110184,Yes
All Countries,Export,1973,Bombs; Missiles; and Ammunition (95106),,252949973,No
All Countries,Export,1973,Bombs; Missiles; and Ammunition (95106),,179580,No
Argentina,Export,1973,Parts of Non-Military Firearms (89433),,1270,Yes
Australia,Export,1973,Parts of Non-Military Firearms (89433),,24023,Yes
Australia,Export,1973,Parts of Non-Military Firearms (89433),,2206,Yes
Austria,Export,1973,Parts of Non-Military Firearms (89433),,6541,Yes
Belgium,Export,1973,Parts of Non-Military Firearms (89433),,145253,Yes
Brazil,Export,1973,Parts of Non-Military Firearms (89433),,1050,Yes
Canada,Export,1973,Parts of Non-Military Firearms (89433),,1308913,Yes
Colombia,Export,1973,Parts of Non-Military Firearms (89433),,9035,Yes
El Salvador,Export,1973,Parts of Non-Military Firearms (89433),,7024,Yes
Finland,Export,1973,Parts of Non-Military Firearms (89433),,3834,Yes
Finland,Export,1973,Parts of Non-Military Firearms (89433),,1512,Yes
France,Export,1973,Parts of Non-Military Firearms (89433),,114451,Yes
Germany (Federal Republic),Export,1973,Parts of Non-Military Firearms (89433),,99811,Yes
Greece,Export,1973,Parts of Non-Military Firearms (89433),,2114,Yes
Iceland,Export,1973,Parts of Non-Military Firearms (89433),,870,Yes
